	mut_freq
BG0401	0.0029
BG0402	0.008
BG0403	0.0032
BG0404	0.0192
BG0405	0.0145
BG0406	0.0233
BG0407	0.0218
BG0408	0.0483
BG0409	0.0154
BG0410	0.0193
BG0411	0.0238
BG0412	0.0131
BG0413	0.012
BG0414	0.0349
BG0415	0.0421
BG0416	0.0088
BG0417	0.0211
BG0418	0.0103
BG0419	0.0112
BG0420	0.0396
BG0421	0.0059
BG0422	0.0401
BG0423	0.0258
BG0424	0.0162
BG0425	0.018
BG0426	0.0296
BG0427	0.0355
BG0428	0.0307
BG0429	0.0451
BG0430	0.029
BG0431	0.0228
BG0432	0.0317
BG0433	0.0069
BG0434	0.0071
BG0435	0.0186
BG0436	0.0282
BG0437	0.0255
BG0438	0.0073
BG0439	0.0332
BG0440	0.0157
BG0441	0.0259
BG0442	0.0099
BG0443	0.0433
BG0444	0.0222
BG0445	0.037
BG0446	0.0198
BG0447	0.0142
BG0448	0.0126
BG0449	0.0105
BG0450	0.0443
BG0451	0.0129
BG0452	0.0066
BG0453	0.0487
BG0454	0.0125
BG0455	0.0159
BG0456	0.0293
BG0457	0.0286
BG0458	0.032
BG0459	0.0069
BG0460	0.009
BG0461	0.0032
BG0462	0.0139
BG0463	0.0218
BG0464	0.024
BG0465	0.0268
BG0466	0.0104
BG0467	0.0144
BG0468	0.0127
BG0469	0.0277
BG0470	0.0473
BG0471	0.0182
BG0472	0.0321
BG0473	0.0339
BG0474	0.036
BG0475	0.0044
BG0476	0.0129
BG0477	0.003
BG0478	0.005
BG0479	0.029
BG0480	0.0348
BG0481	0.002
BG0482	0.049
BG0483	0.0187
BG0484	0.0439
BG0485	0.0494
BG0486	0.0296
BG0487	0.0177
BG0488	0.0044
BG0489	0.0028
BG0490	0.0466
BG0491	0.0474
BG0492	0.0025
BG0493	0.041
BG0494	0.0359
BG0495	0.0278
BG0496	0.0232
BG0497	0.0423
BG0498	0.035
BG0499	0.0396
BG0500	0.0293
BG0501	0.0386
BG0502	0.0457
BG0503	0.0194
BG0504	0.0259
BG0505	0.0342
BG0506	0.0433
BG0507	0.0211
BG0508	0.0391
BG0509	0.0122
BG0510	0.0303
BG0511	0.0049
BG0512	0.0185
BG0513	0.0244
BG0514	0.006
BG0515	0.0192
BG0516	0.0201
BG0517	0.0308
BG0518	0.0187
BG0519	0.0208
BG0520	0.0409
BG0521	0.0121
BG0522	0.0132
BG0523	0.0317
BG0524	0.0291
BG0525	0.0437
BG0526	0.0265
BG0527	0.013
BG0528	0.0291
BG0529	0.0409
BG0530	0.0452
BG0531	0.0216
BG0532	0.0084
BG0533	0.0124
BG0534	0.0236
BG0535	0.0377
BG0536	0.029
BG0537	0.0145
BG0538	0.0483
BG0539	0.0398
BG0540	0.0328
BG0541	0.023
BG0542	0.0295
BG0543	0.0462
BG0544	0.0293
BG0545	0.0123
BG0546	0.0087
BG0547	0.0315
BG0548	0.0057
BG0549	0.0341
BG0550	0.0488
BG0551	0.025
BG0552	0.0084
BG0553	0.0012
BG0554	0.0076
BG0555	0.0453
BG0556	0.003
BG0557	0.0222
BG0558	0.0013
BG0559	0.0346
BG0560	0.0342
BG0561	0.046
BG0562	0.0281
BG0563	0.0436
BG0564	0.0492
BG0565	0.0365
BG0566	0.0318
BG0567	0.0225
BG0568	0.0337
BG0569	0.0176
BG0570	0.0388
BG0571	0.0161
BG0572	0.0357
BG0573	0.0097
BG0574	0.0297
BG0575	0.0221
BG0576	0.0479
BG0577	0.0086
BG0578	0.0358
BG0579	0.0232
BG0580	0.0321
BG0581	0.0437
BG0582	0.0295
BG0583	0.0339
BG0584	0.0029
BG0585	0.0149
BG0586	0.0498
BG0587	0.0435
BG0588	0.0399
BG0589	0.0408
BG0590	0.0304
BG0591	0.0199
BG0592	0.021
BG0593	0.0248
BG0594	0.0312
BG0595	0.0212
BG0596	0.0366
BG0597	0.0349
BG0598	0.0034
BG0599	0.0089
BG0600	0.019
BG0601	0.0432
BG0602	0.0472
BG0603	0.0335
BG0604	0.0345
BG0605	0.0256
BG0606	0.0452
BG0607	0.0209
BG0608	0.0095
BG0609	0.0393
BG0610	0.0096
BG0611	0.0121
BG0612	0.0036
BG0613	0.0322
BG0614	0.0485
BG0615	0.0488
BG0616	0.0279
BG0617	0.0058
BG0618	0.0082
BG0619	0.016
BG0620	0.0155
BG0621	0.0306
BG0622	0.0182
BG0623	0.0057
BG0624	0.035
BG0625	0.0364
BG0626	0.0175
BG0627	0.0106
BG0628	0.0384
BG0629	0.0216
BG0630	0.036
BG0631	0.0489
BG0632	0.0349
BG0633	0.0082
BG0634	0.0216
BG0635	0.0037
BG0636	0.0478
BG0637	0.0126
BG0638	0.0446
BG0639	0.0187
BG0640	0.0206
BG0641	0.0419
BG0642	0.0136
BG0643	0.008
BG0644	0.0069
BG0645	0.0462
BG0646	0.0444
BG0647	0.03
BG0648	0.0418
BG0649	0.044
BG0650	0.0398
BG0651	0.0187
BG0652	0.0147
BG0653	0.0287
BG0654	0.0396
BG0655	0.0227
BG0656	0.0435
BG0657	0.02
BG0658	0.0013
BG0659	0.0437
BG0660	0.0085
BG0661	0.0104
BG0662	0.0295
BG0663	0.0476
BG0664	0.0048
BG0665	0.0362
BG0666	0.0179
BG0667	0.012
BG0668	0.0464
BG0669	0.0239
BG0670	0.0171
BG0671	0.0412
BG0672	0.0315
BG0673	0.0107
BG0674	0.0397
BG0675	0.0438
BG0676	0.0323
BG0677	0.047
BG0678	0.0293
BG0679	0.0207
BG0680	0.0467
BG0681	0.0403
BG0682	0.0394
BG0683	0.0049
BG0684	0.0139
BG0685	0.0357
BG0686	0.0428
BG0687	0.0273
BG0688	0.0196
BG0689	0.0262
BG0690	0.0007
BG0691	0.0474
BG0692	0.0434
BG0693	0.0028
BG0694	0.0197
BG0695	0.0282
BG0696	0.0038
BG0697	0.0444
BG0698	0.0363
BG0699	0.0207
BG0700	0.0219
BG0701	0.0056
BG0702	0.0363
BG0703	0.011
BG0704	0.0429
BG0705	0.0425
BG0706	0.0125
BG0707	0.0082
BG0708	0.0267
BG0709	0.0466
BG0710	0.0446
BG0711	0.016
BG0712	0.0499
BG0713	0.0362
BG0714	0.0448
BG0715	0.0252
BG0716	0.0154
BG0717	0.0113
BG0718	0.0294
BG0719	0.017
BG0720	0.0497
BG0721	0.0497
BG0722	0.0057
BG0723	0.0483
BG0724	0.0339
BG0725	0.0034
BG0726	0.0359
BG0727	0.0312
BG0728	0.0021
BG0729	0.0368
BG0730	0.0299
BG0731	0.0369
BG0732	0.0153
BG0733	0.0027
BG0734	0.0438
BG0735	0.0472
BG0736	0.0448
BG0737	0.041
BG0738	0.0143
BG0739	0.0385
BG0740	0.047
BG0741	0.0408
BG0742	0.0493
BG0743	0.0093
BG0744	0.037
BG0745	0.0184
BG0746	0.0377
BG0747	0.0396
BG0748	0.0007
BG0749	0.0104
BG0750	0.0437
BG0751	0.0124
BG0752	0.0284
BG0753	0.0066
BG0754	0.0082
BG0755	0.0356
BG0756	0.0362
BG0757	0.041
BG0758	0.0442
BG0759	0.0026
BG0760	0.0108
BG0761	0.0194
BG0762	0.047
BG0763	0.0496
BG0764	0.0066
BG0765	0.0136
BG0766	0.0147
BG0767	0.0205
BG0768	0.0172
BG0769	0.0132
BG0770	0.032
BG0771	0.0393
BG0772	0.0339
BG0773	0.0005
BG0774	0.0041
BG0775	0.0071
BG0776	0.0369
BG0777	0.0345
BG0778	0.0139
BG0779	0.0018
BG0780	0.0222
BG0781	0.0057
BG0782	0.0126
